Timestamp;Actual_Consumption;Forecast_Value;Lower_Bound;Upper_Bound
2024-10-05 17:00:00;6712,581;6828,846;6692,304;6965,388
2024-10-05 18:00:00;6894,942;6903,449;6766,907;7039,991
2024-10-05 19:00:00;6772,916;6324,101;6187,559;6460,643
2024-10-05 20:00:00;6383,798;5934,200;5797,658;6070,742
2024-10-05 21:00:00;5954,222;5779,305;5642,763;5915,847
2024-10-05 22:00:00;5761,102;5359,852;5223,310;5496,394
2024-10-05 23:00:00;5398,791;5171,203;5034,661;5307,745
2024-10-06 00:00:00;5159,412;4876,022;4739,480;5012,564
2024-10-06 01:00:00;4885,338;4743,833;4607,291;4880,375
2024-10-06 02:00:00;4795,062;4748,466;4611,924;4885,008
2024-10-06 03:00:00;4654,442;4672,002;4535,460;4808,544
2024-10-06 04:00:00;4652,595;4797,028;4660,486;4933,570
2024-10-06 05:00:00;4881,646;5500,309;5363,767;5636,851
2024-10-06 06:00:00;5156,170;5274,566;5138,024;5411,108
2024-10-06 07:00:00;5514,825;5643,713;5507,171;5780,255
2024-10-06 08:00:00;5745,864;5942,786;5806,244;6079,328
2024-10-06 09:00:00;5767,283;5828,791;5692,249;5965,333
2024-10-06 10:00:00;5786,158;5643,742;5507,200;5780,284
2024-10-06 11:00:00;5644,109;5405,271;5268,729;5541,813
2024-10-06 12:00:00;5326,783;5107,181;4970,639;5243,723
2024-10-06 13:00:00;5077,665;4779,240;4642,698;4915,782
2024-10-06 14:00:00;4944,576;5088,338;4951,796;5224,880
2024-10-06 15:00:00;4997,388;5309,926;5173,384;5446,468
2024-10-06 16:00:00;5282,807;5652,681;5516,139;5789,223
2024-10-06 17:00:00;5846,501;6313,920;6177,378;6450,462
2024-10-06 18:00:00;6498,037;6916,114;6779,572;7052,656
2024-10-06 19:00:00;6591,186;6223,202;6086,660;6359,744
2024-10-06 20:00:00;6259,999;5706,103;5569,561;5842,645
2024-10-06 21:00:00;5869,995;5767,948;5631,406;5904,490
2024-10-06 22:00:00;5808,812;5603,977;5467,435;5740,519
2024-10-06 23:00:00;5486,871;5292,396;5155,854;5428,938
2024-10-07 00:00:00;5344,633;5098,251;4961,709;5234,793
2024-10-07 01:00:00;5108,363;5020,797;4884,255;5157,339
2024-10-07 02:00:00;5091,088;5054,077;4917,535;5190,619
2024-10-07 03:00:00;5098,291;5323,598;5187,056;5460,140
2024-10-07 04:00:00;5226,738;5775,755;5639,213;5912,297
2024-10-07 05:00:00;5944,494;7044,446;6907,904;7180,988
2024-10-07 06:00:00;7277,774;8114,038;7977,496;8250,580
2024-10-07 07:00:00;8160,756;8571,158;8434,616;8707,700
2024-10-07 08:00:00;8257,336;7985,567;7849,025;8122,109
2024-10-07 09:00:00;7998,378;7596,757;7460,215;7733,299
2024-10-07 10:00:00;7716,056;7387,447;7250,905;7523,989
2024-10-07 11:00:00;7294,017;6910,862;6774,320;7047,404
2024-10-07 12:00:00;6756,403;6442,042;6305,500;6578,584
2024-10-07 13:00:00;6558,531;6398,862;6262,320;6535,404
2024-10-07 14:00:00;6354,483;6434,889;6298,347;6571,431
2024-10-07 15:00:00;6482,416;6700,335;6563,793;6836,877
2024-10-07 16:00:00;6847,999;7402,163;7265,621;7538,705
2024-10-07 17:00:00;7479,208;8101,510;7964,968;8238,053
2024-10-07 18:00:00;7878,929;7837,581;7701,039;7974,123
